110011 = 114	P39	=  0.014	h[39]	=0.060606
100110 = 139	P40	=  0.017	h[40]	=0.070449
001100 = 150	P41	=  0.019	h[41]	=0.074595
011001 = 107	P42	=  0.013	h[42]	=0.057732
001010 = 122	P43	=  0.015	h[43]	=0.063824
101000 = 118	P44	=  0.015	h[44]	=0.062223
010001 = 119	P45	=  0.015	h[45]	=0.062625
100011 = 130	P46	=  0.016	h[46]	=0.066976
110001 = 136	P47	=  0.017	h[47]	=0.069300
100010 = 125	P48	=  0.016	h[48]	=0.065013
010101 = 130	P49	=  0.016	h[49]	=0.066976
101011 = 118	P50	=  0.015	h[50]	=0.062223
111111 = 126	P51	=  0.016	h[51]	=0.065408
000000 = 117	P52	=  0.015	h[52]	=0.061820
110110 = 112	P53	=  0.014	h[53]	=0.059790
101101 = 122	P54	=  0.015	h[54]	=0.063824
011011 = 116	P55	=  0.015	h[55]	=0.061417
110101 = 122	P56	=  0.015	h[56]	=0.063824
010110 = 116	P57	=  0.015	h[57]	=0.061417
101100 = 106	P58	=  0.013	h[58]	=0.057317
011000 = 148	P59	=  0.019	h[59]	=0.073849
000100 = 128	P60	=  0.016	h[60]	=0.066194
000110 = 145	P61	=  0.018	h[61]	=0.072724
001101 = 134	P62	=  0.017	h[62]	=0.068529
011010 = 140	P63	=  0.018	h[63]	=0.070831
101010 = 134	P64	=  0.017	h[64]	=0.068529

=====================================================
total =	7995		  H[6] = 4.1553511620	
=====================================================

